E,B,fitness_true,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map,err,abs_err,sq_err
100000.0,0.0001,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.0001,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.001,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.01,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,0.1,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,1.0,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,0,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,1,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,2,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,3,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,4,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,5,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,6,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,7,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,8,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,9,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,10,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,11,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,12,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,13,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,14,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,15,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,16,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,17,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,18,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
100000.0,10.0,0.3,1.0,19,0,nan,nan,nan,nan,skipped_threshold/window,nan,nan,nan,nan,nan
200000.0,0.0001,0.3,1.0,0,14,66.03301650825412,144.072036018009,0.09751381215469614,0.512840931714115,ok,0.30804110779482335,22319.725018802597,0.008041107794823366,0.008041107794823366,6.465941456796908e-05
200000.0,0.0001,0.3,1.0,1,14,66.03301650825412,144.072036018009,0.10292524377031419,0.49541500117564075,ok,0.29949776597363326,20512.783058392215,-0.0005022340263667324,0.0005022340263667324,2.522390172405397e-07
200000.0,0.0001,0.3,1.0,2,14,60.03001500750375,138.06903451725861,0.051301115241635685,0.49665600465251525,ok,0.2605899589883317,5375.6322522182945,-0.039410041011668284,0.039410041011668284,0.0015531513325413762
200000.0,0.0001,0.3,1.0,3,14,66.03301650825412,144.072036018009,0.0951830443159923,0.5080213903743316,ok,0.3232963763254196,18616.49864144609,0.023296376325419588,0.023296376325419588,0.0005427211498955703
200000.0,0.0001,0.3,1.0,4,14,66.03301650825412,144.072036018009,0.08973570989551322,0.48977695167286245,ok,0.31945359938695944,17415.391764756023,0.019453599386959453,0.019453599386959453,0.0003784425291083092
200000.0,0.0001,0.3,1.0,5,14,66.03301650825412,144.072036018009,0.10186994138989673,0.494949494949495,ok,0.3117861455958359,19784.809767182607,0.011786145595835906,0.011786145595835906,0.00013891322800624212
200000.0,0.0001,0.3,1.0,6,14,66.03301650825412,144.072036018009,0.09720785935884178,0.4966744562286536,ok,0.31248631992272474,21854.867815626705,0.012486319922724753,0.012486319922724753,0.00015590818521263308
200000.0,0.0001,0.3,1.0,7,14,66.03301650825412,144.072036018009,0.09652076318742986,0.505566114580505,ok,0.28829795585075263,21305.595534960732,-0.01170204414924736,0.01170204414924736,0.00013693783727093434
200000.0,0.0001,0.3,1.0,8,14,66.03301650825412,144.072036018009,0.09635494472662086,0.5037037037037037,ok,0.2975951977021379,21958.383480462184,-0.0024048022978621075,0.0024048022978621075,5.783074091802873e-06
200000.0,0.0001,0.3,1.0,9,14,66.03301650825412,144.072036018009,0.10145110410094638,0.498816949881695,ok,0.3198743580361414,23327.785211315433,0.019874358036141404,0.019874358036141404,0.0003949901073487384
200000.0,0.0001,0.3,1.0,10,14,66.03301650825412,144.072036018009,0.10031720856463125,0.5008423180592992,ok,0.310202263002035,20028.94631589194,0.010202263002035028,0.010202263002035028,0.00010408617036269278
200000.0,0.0001,0.3,1.0,11,14,66.03301650825412,144.072036018009,0.09487560341626439,0.5050085511849499,ok,0.2978383411533038,19880.811369857387,-0.0021616588466961684,0.0021616588466961684,4.672768969499809e-06
200000.0,0.0001,0.3,1.0,12,14,66.03301650825412,144.072036018009,0.10830769230769231,0.5054545454545455,ok,0.28327244084723985,21491.95920200914,-0.01672755915276014,0.01672755915276014,0.00027981123520908955
200000.0,0.0001,0.3,1.0,13,14,66.03301650825412,144.072036018009,0.09825599501712862,0.49261363636363636,ok,0.2977130872484336,20877.82777778737,-0.0022869127515663945,0.0022869127515663945,5.229969933276977e-06
200000.0,0.0001,0.3,1.0,14,14,66.03301650825412,144.072036018009,0.09987852611688487,0.5027092113184829,ok,0.3126734081990143,24125.633815133853,0.012673408199014302,0.012673408199014302,0.00016061527537884293
200000.0,0.0001,0.3,1.0,15,14,66.03301650825412,144.072036018009,0.09657554821267648,0.4963575506989565,ok,0.2959009754583249,21228.183624235717,-0.0040990245416751,0.0040990245416751,1.6802002193254766e-05
200000.0,0.0001,0.3,1.0,16,14,66.03301650825412,144.072036018009,0.0946854001221747,0.49723145071982283,ok,1.0,20576.415379977527,0.7,0.7,0.48999999999999994
200000.0,0.0001,0.3,1.0,17,14,66.03301650825412,144.072036018009,0.10479145122371596,0.5043103448275862,ok,0.29911230890273444,19469.774671795112,-0.0008876910972655527,0.0008876910972655527,7.87995484164521e-07
200000.0,0.0001,0.3,1.0,18,14,66.03301650825412,144.072036018009,0.10420136960947622,0.5088397790055249,ok,0.3204452829834363,23553.32471279141,0.020445282983436286,0.020445282983436286,0.00041800959627278934
200000.0,0.0001,0.3,1.0,19,14,66.03301650825412,144.072036018009,0.10299744897959184,0.5017931034482759,ok,0.28208930690758705,21198.755714786763,-0.017910693092412944,0.017910693092412944,0.0003207929270506087
200000.0,0.001,0.3,1.0,0,14,66.03301650825412,144.072036018009,0.10221424296828246,0.5018656716417911,ok,0.3022593800468469,22843.175114547597,0.0022593800468468928,0.0022593800468468928,5.104798196089867e-06
200000.0,0.001,0.3,1.0,1,14,66.03301650825412,144.072036018009,0.09781684150836405,0.4957163958641064,ok,0.3213429672028216,22539.78164516207,0.02134296720282164,0.02134296720282164,0.00045552224902072015
200000.0,0.001,0.3,1.0,2,14,66.03301650825412,144.072036018009,0.09809992962702323,0.5082561417639951,ok,0.2784470805798113,21235.172169634738,-0.021552919420188665,0.021552919420188665,0.0004645283355331457
200000.0,0.001,0.3,1.0,3,14,66.03301650825412,144.072036018009,0.09991974317817015,0.5114942528735632,ok,0.3115966876539595,20318.718196924932,0.011596687653959492,0.011596687653959492,0.0001344831645434965
200000.0,0.001,0.3,1.0,4,14,66.03301650825412,144.072036018009,0.10086416419119633,0.49642857142857144,ok,0.3154610822730634,22910.943787920714,0.01546108227306342,0.01546108227306342,0.00023904506505443594
200000.0,0.001,0.3,1.0,5,14,66.03301650825412,144.072036018009,0.1047008547008547,0.49782797567332754,ok,0.31294292094823456,24370.11007307058,0.01294292094823457,0.01294292094823457,0.00016751920267224927
200000.0,0.001,0.3,1.0,6,14,66.03301650825412,144.072036018009,0.09783263094521373,0.5007784854918613,ok,0.2473522959266042,21182.49287287805,-0.05264770407339578,0.05264770407339578,0.0027717807441998547
200000.0,0.001,0.3,1.0,7,14,66.03301650825412,144.072036018009,0.09771846749892381,0.5030056234244716,ok,0.2952842266813696,20371.088735804322,-0.0047157733186303785,0.0047157733186303785,2.2238517992706172e-05
200000.0,0.001,0.3,1.0,8,14,66.03301650825412,144.072036018009,0.10498448055504839,0.5033838657282079,ok,0.30376254169160327,25842.521981265912,0.0037625416916032828,0.0037625416916032828,1.4156719981052892e-05
200000.0,0.001,0.3,1.0,9,14,66.03301650825412,144.072036018009,0.0950926102730571,0.49366463715649167,ok,0.31616763319340063,20274.968932897395,0.016167633193400643,0.016167633193400643,0.0002613923630763503
200000.0,0.001,0.3,1.0,10,14,66.03301650825412,144.072036018009,0.10458661992404324,0.5001008674601574,ok,0.2838480225528329,22996.1857592248,-0.016151977447167065,0.016151977447167065,0.0002608863754537935
200000.0,0.001,0.3,1.0,11,14,66.03301650825412,144.072036018009,0.09915696507426736,0.49516162240065886,ok,0.3060849691830935,20190.725876934295,0.006084969183093536,0.006084969183093536,3.7026849959198016e-05
200000.0,0.001,0.3,1.0,12,14,66.03301650825412,144.072036018009,0.10454545454545454,0.4969097651421508,ok,0.39702524804193273,10309.04269167607,0.09702524804193274,0.09702524804193274,0.009413898757598573
200000.0,0.001,0.3,1.0,13,14,66.03301650825412,144.072036018009,0.09805924412665985,0.5089760160850209,ok,0.30473119067934346,20100.258717235127,0.004731190679343467,0.004731190679343467,2.2384165244306493e-05
200000.0,0.001,0.3,1.0,14,14,66.03301650825412,144.072036018009,0.10145353105270885,0.49483891147951203,ok,0.289386617019716,22002.675316178796,-0.01061338298028397,0.01061338298028397,0.00011264389828618144
200000.0,0.001,0.3,1.0,15,14,66.03301650825412,144.072036018009,0.09305896805896806,0.4927947598253275,ok,0.33839358317711876,18068.619350424156,0.03839358317711877,0.03839358317711877,0.0014740672291783377
200000.0,0.001,0.3,1.0,16,14,66.03301650825412,144.072036018009,0.10423501342081717,0.5025260029717682,ok,0.30000143923765765,22164.456285291417,1.4392376576632948e-06,1.4392376576632948e-06,2.0714050352361273e-12
200000.0,0.001,0.3,1.0,17,14,66.03301650825412,144.072036018009,0.0992085152838428,0.49812141585920505,ok,0.31000318650224745,22493.16808080117,0.010003186502247463,0.010003186502247463,0.00010006374019874584
200000.0,0.001,0.3,1.0,18,14,66.03301650825412,144.072036018009,0.10069862683690677,0.5012892135797163,ok,0.28673272125416294,22970.164555825304,-0.013267278745837052,0.013267278745837052,0.00017602068531973958
200000.0,0.001,0.3,1.0,19,14,66.03301650825412,144.072036018009,0.10538800406641817,0.5019640852974186,ok,0.29756248048212686,22617.682633621436,-0.0024375195178731324,0.0024375195178731324,5.941501400012467e-06
200000.0,0.01,0.3,1.0,0,14,66.03301650825412,144.072036018009,0.1039739636861939,0.4988797610156833,ok,0.3022480360224558,21369.920497850064,0.002248036022455824,0.002248036022455824,5.0536659582590015e-06
200000.0,0.01,0.3,1.0,1,14,66.03301650825412,144.072036018009,0.10077145612343298,0.5083612040133779,ok,0.32198824379655855,22856.298085891514,0.02198824379655856,0.02198824379655856,0.000483482865256896
200000.0,0.01,0.3,1.0,2,14,66.03301650825412,144.072036018009,0.10352725606962895,0.49593054801953335,ok,0.24202913806847423,24842.976126747446,-0.05797086193152576,0.05797086193152576,0.0033606208330840223
200000.0,0.01,0.3,1.0,3,14,66.03301650825412,144.072036018009,0.0955068374213154,0.5067098565478945,ok,0.3067352955325375,19647.99394765329,0.006735295532537489,0.006735295532537489,4.5364205910619455e-05
200000.0,0.01,0.3,1.0,4,14,66.03301650825412,144.072036018009,0.10244930208058994,0.5054393305439331,ok,0.30153780107291095,21631.55037984446,0.0015378010729109604,0.0015378010729109604,2.364832139846101e-06
200000.0,0.01,0.3,1.0,5,14,66.03301650825412,144.072036018009,0.09789609274366681,0.49712841718355155,ok,0.3260638626116487,17521.82059656804,0.026063862611648725,0.026063862611648725,0.0006793249342389002
